opt_rounds,depth,sims,learning_rate,runtime,expect_value
10,2,1000,0.1,3.114586,2.933
10,2,1000,0.01,3.0701779,3.683
10,2,1000,0.0001,3.0732889,3.298
10,2,10000,0.1,5.1754616,3.4593
10,2,10000,0.01,4.7209403,3.6903
10,2,10000,0.0001,4.8997714,3.277
10,2,100000,0.1,20.9013497,3.67295
10,2,100000,0.01,20.4288235,3.68605
10,2,100000,0.0001,21.356702,3.27232
10,2,1000000,0.1,207.3431561,3.656299
10,2,1000000,0.01,216.7129318,3.689011
10,2,1000000,0.0001,202.7180623,3.270379
10,3,1000,0.1,7.1127096,1.414
10,3,1000,0.01,6.9922612,3.765
10,3,1000,0.0001,6.811842,2.958
10,3,10000,0.1,9.6817613,3.4641
10,3,10000,0.01,9.3458208,3.8405
10,3,10000,0.0001,9.2999587,2.9622
10,3,100000,0.1,33.8804085,2.94217
10,3,100000,0.01,34.7553918,3.83422
10,3,100000,0.0001,34.1287382,2.94693
10,3,1000000,0.1,294.2938039,3.228827
10,3,1000000,0.01,295.0435991,3.844012
10,3,1000000,0.0001,310.4469031,2.950547
10,4,1000,0.1,12.1684253,3.671
10,4,1000,0.01,12.0783643,3.806
10,4,1000,0.0001,12.493758,3.521
10,4,10000,0.1,14.87028,3.5535
10,4,10000,0.01,16.2123894,3.8649
10,4,10000,0.0001,14.7262645,3.5218
10,4,100000,0.1,50.1326976,3.23477
10,4,100000,0.01,52.9584791,3.86643
10,4,100000,0.0001,50.2693309,3.51498
10,4,1000000,0.1,425.8690255,3.410819
10,4,1000000,0.01,417.3087914,3.865682
10,4,1000000,0.0001,427.777399,3.515451
20,2,1000,0.1,8.9805211,3.166
20,2,1000,0.01,8.3095498,3.723
20,2,1000,0.0001,8.8721712,3.319
20,2,10000,0.1,13.9946231,3.619
20,2,10000,0.01,17.1426319,3.6883
20,2,10000,0.0001,13.5188062,3.294
20,2,100000,0.1,57.064595,3.66071
20,2,100000,0.01,55.0896367,3.6927
20,2,100000,0.0001,52.8764819,3.28371
20,2,1000000,0.1,429.6955517,3.668866
20,2,1000000,0.01,428.4463058,3.696736
20,2,1000000,0.0001,428.9396883,3.284282
20,3,1000,0.1,13.9511866,2.752
20,3,1000,0.01,14.3388049,3.889
20,3,1000,0.0001,14.3358444,3.017
20,3,10000,0.1,19.6967616,3.5197
20,3,10000,0.01,19.4426476,3.8879
20,3,10000,0.0001,20.4318851,2.9799
20,3,100000,0.1,72.6213649,3.11938
20,3,100000,0.01,71.7631117,3.88737
20,3,100000,0.0001,71.6997819,2.96864
20,3,1000000,0.1,620.3114566,3.874819
20,3,1000000,0.01,664.6477497,3.888276
20,3,1000000,0.0001,794.7464028,2.962943
20,4,1000,0.1,25.47933,1.523
